,trialNum,numStrokes,repetition,gameID,target,condition,generalization,outcome,bis
94,15,-0.49572486616594125,2,0232-52e2508f-1993-48fa-8bb3-3d1bb74dfc40,waiting_03,repeated,between,0.42008284874110957,0.9158077149070508
95,16,-0.49572486616594125,2,0232-52e2508f-1993-48fa-8bb3-3d1bb74dfc40,waiting_04,repeated,between,0.42008284874110957,0.9158077149070508
96,17,-0.1809789193939151,3,0232-52e2508f-1993-48fa-8bb3-3d1bb74dfc40,waiting_01,repeated,between,0.42008284874110957,0.6010617681350247
97,18,0.13376702737811105,3,0232-52e2508f-1993-48fa-8bb3-3d1bb74dfc40,waiting_03,repeated,between,0.42008284874110957,0.2863158213629985
98,19,-1.1252167597099936,3,0232-52e2508f-1993-48fa-8bb3-3d1bb74dfc40,waiting_00,repeated,between,0.42008284874110957,1.5452996084511033
99,20,-0.49572486616594125,3,0232-52e2508f-1993-48fa-8bb3-3d1bb74dfc40,waiting_04,repeated,between,0.42008284874110957,0.9158077149070508
100,21,0.13376702737811105,4,0232-52e2508f-1993-48fa-8bb3-3d1bb74dfc40,waiting_01,repeated,between,0.42008284874110957,0.2863158213629985
101,22,-0.8104708129379674,4,0232-52e2508f-1993-48fa-8bb3-3d1bb74dfc40,waiting_04,repeated,between,0.42008284874110957,1.2305536616790769
102,23,-1.1252167597099936,4,0232-52e2508f-1993-48fa-8bb3-3d1bb74dfc40,waiting_00,repeated,between,0.42008284874110957,1.5452996084511033
103,24,0.44851297415013724,4,0232-52e2508f-1993-48fa-8bb3-3d1bb74dfc40,waiting_03,repeated,between,0.42008284874110957,-0.028430125409027673
104,25,-0.49572486616594125,5,0232-52e2508f-1993-48fa-8bb3-3d1bb74dfc40,waiting_03,repeated,between,0.42008284874110957,0.9158077149070508
105,26,-0.49572486616594125,5,0232-52e2508f-1993-48fa-8bb3-3d1bb74dfc40,waiting_04,repeated,between,0.42008284874110957,0.9158077149070508
106,27,0.44851297415013724,5,0232-52e2508f-1993-48fa-8bb3-3d1bb74dfc40,waiting_01,repeated,between,0.42008284874110957,-0.028430125409027673
107,28,-0.8104708129379674,5,0232-52e2508f-1993-48fa-8bb3-3d1bb74dfc40,waiting_00,repeated,between,0.42008284874110957,1.2305536616790769
108,29,-0.49572486616594125,6,0232-52e2508f-1993-48fa-8bb3-3d1bb74dfc40,waiting_01,repeated,between,0.42008284874110957,0.9158077149070508
109,30,-0.8104708129379674,6,0232-52e2508f-1993-48fa-8bb3-3d1bb74dfc40,waiting_00,repeated,between,0.42008284874110957,1.2305536616790769
110,31,-0.49572486616594125,6,0232-52e2508f-1993-48fa-8bb3-3d1bb74dfc40,waiting_03,repeated,between,0.42008284874110957,0.9158077149070508
111,32,-0.49572486616594125,6,0232-52e2508f-1993-48fa-8bb3-3d1bb74dfc40,waiting_04,repeated,between,0.42008284874110957,0.9158077149070508
112,33,-1.1252167597099936,7,0232-52e2508f-1993-48fa-8bb3-3d1bb74dfc40,waiting_00,repeated,between,0.42008284874110957,1.5452996084511033
113,34,0.44851297415013724,7,0232-52e2508f-1993-48fa-8bb3-3d1bb74dfc40,dining_02,control,between,0.42008284874110957,-0.028430125409027673
114,35,-0.49572486616594125,7,0232-52e2508f-1993-48fa-8bb3-3d1bb74dfc40,dining_07,control,between,0.42008284874110957,0.9158077149070508
