,trialNum,drawDuration,repetition,gameID,condition,target,generalization,outcome,bis_score
226,31,-0.41390222238699403,6,9817-6f2a66db-fc24-482d-aa20-1980ad6f524e,repeated,dining_06,within,0.0,0.41390222238699403
227,32,-0.598821420152134,6,9817-6f2a66db-fc24-482d-aa20-1980ad6f524e,repeated,dining_04,within,0.0,0.598821420152134
228,33,-0.9430294917128076,7,9817-6f2a66db-fc24-482d-aa20-1980ad6f524e,repeated,dining_07,within,0.0,0.9430294917128076
229,37,0.065235431002135,7,9817-6f2a66db-fc24-482d-aa20-1980ad6f524e,repeated,dining_04,within,0.0,-0.065235431002135
230,38,-0.038768398866524605,7,9817-6f2a66db-fc24-482d-aa20-1980ad6f524e,repeated,dining_02,within,0.0,0.038768398866524605
231,39,-0.5933140861589801,7,9817-6f2a66db-fc24-482d-aa20-1980ad6f524e,repeated,dining_06,within,0.0,0.5933140861589801
232,1,-0.2592733615842004,0,9817-6f2a66db-fc24-482d-aa20-1980ad6f524e,control,dining_03,within,0.0,0.2592733615842004
233,4,2.325146896122725,0,9817-6f2a66db-fc24-482d-aa20-1980ad6f524e,control,dining_01,within,0.0,-2.325146896122725
234,5,2.0965926364106537,0,9817-6f2a66db-fc24-482d-aa20-1980ad6f524e,control,dining_05,within,0.0,-2.0965926364106537
235,7,1.5604752970938232,0,9817-6f2a66db-fc24-482d-aa20-1980ad6f524e,control,dining_00,within,0.0,-1.5604752970938232
236,34,1.6229623170146787,7,9817-6f2a66db-fc24-482d-aa20-1980ad6f524e,control,dining_05,within,0.0,-1.6229623170146787
237,35,-0.42512869537245157,7,9817-6f2a66db-fc24-482d-aa20-1980ad6f524e,control,dining_00,within,0.0,0.42512869537245157
238,36,1.7295080088807655,7,9817-6f2a66db-fc24-482d-aa20-1980ad6f524e,control,dining_01,within,-1.052267283529313,-2.7817752924100785
239,40,-0.914433796751289,7,9817-6f2a66db-fc24-482d-aa20-1980ad6f524e,control,dining_03,within,0.0,0.914433796751289
240,3,3.039258460157441,0,1820-86afdf51-4b4c-43a9-a9e1-e6e20618de1b,repeated,waiting_02,within,0.0,-3.039258460157441
241,4,0.33386264957355855,0,1820-86afdf51-4b4c-43a9-a9e1-e6e20618de1b,repeated,waiting_07,within,0.0,-0.33386264957355855
242,5,0.43686598134929483,0,1820-86afdf51-4b4c-43a9-a9e1-e6e20618de1b,repeated,waiting_00,within,0.0,-0.43686598134929483
243,6,-0.331342747268741,0,1820-86afdf51-4b4c-43a9-a9e1-e6e20618de1b,repeated,waiting_03,within,0.0,0.331342747268741
244,9,-0.8361197545145418,1,1820-86afdf51-4b4c-43a9-a9e1-e6e20618de1b,repeated,waiting_03,within,0.0,0.8361197545145418
245,10,0.14672968893363114,1,1820-86afdf51-4b4c-43a9-a9e1-e6e20618de1b,repeated,waiting_00,within,0.0,-0.14672968893363114
246,11,-0.5152630710639624,1,1820-86afdf51-4b4c-43a9-a9e1-e6e20618de1b,repeated,waiting_07,within,0.0,0.5152630710639624
247,12,-0.3108624865787972,1,1820-86afdf51-4b4c-43a9-a9e1-e6e20618de1b,repeated,waiting_02,within,0.0,0.3108624865787972
248,13,0.11299752864751839,2,1820-86afdf51-4b4c-43a9-a9e1-e6e20618de1b,repeated,waiting_00,within,0.0,-0.11299752864751839
249,14,-0.37149998975942927,2,1820-86afdf51-4b4c-43a9-a9e1-e6e20618de1b,repeated,waiting_02,within,0.0,0.37149998975942927
250,15,-0.6644473753176176,2,1820-86afdf51-4b4c-43a9-a9e1-e6e20618de1b,repeated,waiting_07,within,0.0,0.6644473753176176
251,16,-0.708419570206284,2,1820-86afdf51-4b4c-43a9-a9e1-e6e20618de1b,repeated,waiting_03,within,0.0,0.708419570206284
252,17,-0.6630418766175644,3,1820-86afdf51-4b4c-43a9-a9e1-e6e20618de1b,repeated,waiting_07,within,0.0,0.6630418766175644
253,18,-0.7471714097393373,3,1820-86afdf51-4b4c-43a9-a9e1-e6e20618de1b,repeated,waiting_02,within,-1.052267283529313,-0.3050958737899757
254,19,-0.5194795671641219,3,1820-86afdf51-4b4c-43a9-a9e1-e6e20618de1b,repeated,waiting_03,within,0.0,0.5194795671641219
255,20,-0.19541034261125484,3,1820-86afdf51-4b4c-43a9-a9e1-e6e20618de1b,repeated,waiting_00,within,0.0,0.19541034261125484
256,21,0.20054037472266972,4,1820-86afdf51-4b4c-43a9-a9e1-e6e20618de1b,repeated,waiting_02,within,0.0,-0.20054037472266972
257,22,-0.5558219529992503,4,1820-86afdf51-4b4c-43a9-a9e1-e6e20618de1b,repeated,waiting_07,within,0.0,0.5558219529992503
258,23,-0.7616280361844687,4,1820-86afdf51-4b4c-43a9-a9e1-e6e20618de1b,repeated,waiting_03,within,0.0,0.7616280361844687
259,24,0.2670007402970234,4,1820-86afdf51-4b4c-43a9-a9e1-e6e20618de1b,repeated,waiting_00,within,0.0,-0.2670007402970234
260,25,-0.6941638113546615,5,1820-86afdf51-4b4c-43a9-a9e1-e6e20618de1b,repeated,waiting_07,within,0.0,0.6941638113546615
261,26,0.10737553384730569,5,1820-86afdf51-4b4c-43a9-a9e1-e6e20618de1b,repeated,waiting_00,within,0.0,-0.10737553384730569
262,27,-0.6417585285232578,5,1820-86afdf51-4b4c-43a9-a9e1-e6e20618de1b,repeated,waiting_03,within,0.0,0.6417585285232578
263,28,-0.2225165530992831,5,1820-86afdf51-4b4c-43a9-a9e1-e6e20618de1b,repeated,waiting_02,within,0.0,0.2225165530992831
264,29,0.5133657054175297,6,1820-86afdf51-4b4c-43a9-a9e1-e6e20618de1b,repeated,waiting_00,within,0.0,-0.5133657054175297
265,30,-0.6973763524569493,6,1820-86afdf51-4b4c-43a9-a9e1-e6e20618de1b,repeated,waiting_03,within,0.0,0.6973763524569493
266,31,-0.9590010314269497,6,1820-86afdf51-4b4c-43a9-a9e1-e6e20618de1b,repeated,waiting_07,within,0.0,0.9590010314269497
267,32,-0.5738927599912692,6,1820-86afdf51-4b4c-43a9-a9e1-e6e20618de1b,repeated,waiting_02,within,0.0,0.5738927599912692
268,33,-0.5937706093855226,7,1820-86afdf51-4b4c-43a9-a9e1-e6e20618de1b,repeated,waiting_00,within,0.0,0.5937706093855226
269,35,-0.7857223816788816,7,1820-86afdf51-4b4c-43a9-a9e1-e6e20618de1b,repeated,waiting_07,within,0.0,0.7857223816788816
270,36,-1.127460821650377,7,1820-86afdf51-4b4c-43a9-a9e1-e6e20618de1b,repeated,waiting_03,within,0.0,1.127460821650377
271,39,0.04934835195810756,7,1820-86afdf51-4b4c-43a9-a9e1-e6e20618de1b,repeated,waiting_02,within,0.0,-0.04934835195810756
272,1,2.116444395821464,0,1820-86afdf51-4b4c-43a9-a9e1-e6e20618de1b,control,waiting_04,within,0.0,-2.116444395821464
273,2,3.565519683091057,0,1820-86afdf51-4b4c-43a9-a9e1-e6e20618de1b,control,waiting_05,within,0.0,-3.565519683091057
274,7,-0.05144648945563098,0,1820-86afdf51-4b4c-43a9-a9e1-e6e20618de1b,control,waiting_01,within,0.0,0.05144648945563098
275,8,0.07063170005241416,0,1820-86afdf51-4b4c-43a9-a9e1-e6e20618de1b,control,waiting_06,within,0.0,-0.07063170005241416
276,34,0.5972944666882118,7,1820-86afdf51-4b4c-43a9-a9e1-e6e20618de1b,control,waiting_06,within,0.0,-0.5972944666882118
277,37,1.0741621760416216,7,1820-86afdf51-4b4c-43a9-a9e1-e6e20618de1b,control,waiting_05,within,-1.052267283529313,-2.1264294595709345
278,38,-0.43454694663798626,7,1820-86afdf51-4b4c-43a9-a9e1-e6e20618de1b,control,waiting_01,within,0.0,0.43454694663798626
279,40,1.3307671757646815,7,1820-86afdf51-4b4c-43a9-a9e1-e6e20618de1b,control,waiting_04,within,0.0,-1.3307671757646815
280,2,0.7416818498412802,0,7438-c77fa69e-d41c-41a4-b530-fc2809c07323,repeated,dining_02,within,0.0,-0.7416818498412802
281,6,2.124111363159184,0,7438-c77fa69e-d41c-41a4-b530-fc2809c07323,repeated,dining_01,within,0.0,-2.124111363159184
282,7,-0.5221594644109091,0,7438-c77fa69e-d41c-41a4-b530-fc2809c07323,repeated,dining_07,within,0.0,0.5221594644109091
283,8,0.1406971762327854,0,7438-c77fa69e-d41c-41a4-b530-fc2809c07323,repeated,dining_03,within,-1.0964048893736862,-1.2371020656064715
284,9,-0.5322652990123742,1,7438-c77fa69e-d41c-41a4-b530-fc2809c07323,repeated,dining_01,within,0.0,0.5322652990123742
285,10,1.6573892041847607,1,7438-c77fa69e-d41c-41a4-b530-fc2809c07323,repeated,dining_03,within,0.0,-1.6573892041847607
286,11,-0.2744647807450874,1,7438-c77fa69e-d41c-41a4-b530-fc2809c07323,repeated,dining_02,within,0.0,0.2744647807450874
287,12,-0.2911702236457625,1,7438-c77fa69e-d41c-41a4-b530-fc2809c07323,repeated,dining_07,within,0.0,0.2911702236457625
288,13,-0.6063055519998619,2,7438-c77fa69e-d41c-41a4-b530-fc2809c07323,repeated,dining_07,within,0.0,0.6063055519998619
