,trialNum,numStrokes,repetition,gameID,condition,target,generalization,outcome,bis_score
96,21,-0.5837172315870183,4,6964-d6de9966-f3dd-45df-8d24-d5bfd5d46eb8,repeated,waiting_00,within,0.0,0.5837172315870183
97,22,-0.1347039765200811,4,6964-d6de9966-f3dd-45df-8d24-d5bfd5d46eb8,repeated,waiting_06,within,0.0,0.1347039765200811
98,23,-0.1347039765200811,4,6964-d6de9966-f3dd-45df-8d24-d5bfd5d46eb8,repeated,waiting_07,within,0.0,0.1347039765200811
99,24,-1.4817437417208927,4,6964-d6de9966-f3dd-45df-8d24-d5bfd5d46eb8,repeated,waiting_03,within,0.0,1.4817437417208927
100,25,-0.5837172315870183,5,6964-d6de9966-f3dd-45df-8d24-d5bfd5d46eb8,repeated,waiting_07,within,0.0,0.5837172315870183
101,26,-0.1347039765200811,5,6964-d6de9966-f3dd-45df-8d24-d5bfd5d46eb8,repeated,waiting_06,within,0.0,0.1347039765200811
102,27,-0.5837172315870183,5,6964-d6de9966-f3dd-45df-8d24-d5bfd5d46eb8,repeated,waiting_00,within,0.0,0.5837172315870183
103,28,-1.4817437417208927,5,6964-d6de9966-f3dd-45df-8d24-d5bfd5d46eb8,repeated,waiting_03,within,0.0,1.4817437417208927
104,29,-0.1347039765200811,6,6964-d6de9966-f3dd-45df-8d24-d5bfd5d46eb8,repeated,waiting_07,within,0.0,0.1347039765200811
105,30,-0.5837172315870183,6,6964-d6de9966-f3dd-45df-8d24-d5bfd5d46eb8,repeated,waiting_00,within,0.0,0.5837172315870183
106,31,-1.0327304866539555,6,6964-d6de9966-f3dd-45df-8d24-d5bfd5d46eb8,repeated,waiting_06,within,0.0,1.0327304866539555
107,32,-1.4817437417208927,6,6964-d6de9966-f3dd-45df-8d24-d5bfd5d46eb8,repeated,waiting_03,within,0.0,1.4817437417208927
108,33,-0.1347039765200811,7,6964-d6de9966-f3dd-45df-8d24-d5bfd5d46eb8,repeated,waiting_06,within,0.0,0.1347039765200811
109,36,-0.5837172315870183,7,6964-d6de9966-f3dd-45df-8d24-d5bfd5d46eb8,repeated,waiting_00,within,0.0,0.5837172315870183
110,37,-0.1347039765200811,7,6964-d6de9966-f3dd-45df-8d24-d5bfd5d46eb8,repeated,waiting_07,within,0.0,0.1347039765200811
111,39,-1.4817437417208927,7,6964-d6de9966-f3dd-45df-8d24-d5bfd5d46eb8,repeated,waiting_03,within,0.0,1.4817437417208927
112,1,0.7633225336137933,0,6964-d6de9966-f3dd-45df-8d24-d5bfd5d46eb8,control,waiting_05,within,0.0,-0.7633225336137933
113,3,2.559375553881542,0,6964-d6de9966-f3dd-45df-8d24-d5bfd5d46eb8,control,waiting_02,within,0.0,-2.559375553881542
114,5,1.2123357886807307,0,6964-d6de9966-f3dd-45df-8d24-d5bfd5d46eb8,control,waiting_04,within,0.0,-1.2123357886807307
115,8,0.31430927854685614,0,6964-d6de9966-f3dd-45df-8d24-d5bfd5d46eb8,control,waiting_01,within,-1.0386982880091549,-1.353007566556011
116,34,1.661349043747668,7,6964-d6de9966-f3dd-45df-8d24-d5bfd5d46eb8,control,waiting_04,within,0.0,-1.661349043747668
117,35,1.2123357886807307,7,6964-d6de9966-f3dd-45df-8d24-d5bfd5d46eb8,control,waiting_02,within,0.0,-1.2123357886807307
118,38,-0.1347039765200811,7,6964-d6de9966-f3dd-45df-8d24-d5bfd5d46eb8,control,waiting_05,within,0.0,0.1347039765200811
119,40,1.2123357886807307,7,6964-d6de9966-f3dd-45df-8d24-d5bfd5d46eb8,control,waiting_01,within,0.0,-1.2123357886807307
120,1,-0.5975054396868479,0,4853-a05bfdd7-095c-4b93-bdde-2b99fd29c7a2,repeated,waiting_00,within,0.0,0.5975054396868479
121,2,0.25607375986579173,0,4853-a05bfdd7-095c-4b93-bdde-2b99fd29c7a2,repeated,waiting_01,within,0.0,-0.25607375986579173
122,4,3.6703905580763503,0,4853-a05bfdd7-095c-4b93-bdde-2b99fd29c7a2,repeated,waiting_02,within,-1.052267283529313,-4.722657841605663
123,8,2.3900217587473906,0,4853-a05bfdd7-095c-4b93-bdde-2b99fd29c7a2,repeated,waiting_04,within,0.0,-2.3900217587473906
124,9,1.963232158971071,1,4853-a05bfdd7-095c-4b93-bdde-2b99fd29c7a2,repeated,waiting_04,within,0.0,-1.963232158971071
125,10,-0.5975054396868479,1,4853-a05bfdd7-095c-4b93-bdde-2b99fd29c7a2,repeated,waiting_00,within,0.0,0.5975054396868479
126,11,-0.17071583991052808,1,4853-a05bfdd7-095c-4b93-bdde-2b99fd29c7a2,repeated,waiting_01,within,0.0,0.17071583991052808
127,12,0.25607375986579173,1,4853-a05bfdd7-095c-4b93-bdde-2b99fd29c7a2,repeated,waiting_02,within,0.0,-0.25607375986579173
128,13,-0.17071583991052808,2,4853-a05bfdd7-095c-4b93-bdde-2b99fd29c7a2,repeated,waiting_00,within,0.0,0.17071583991052808
129,14,1.1096529594184315,2,4853-a05bfdd7-095c-4b93-bdde-2b99fd29c7a2,repeated,waiting_04,within,0.0,-1.1096529594184315
130,15,0.25607375986579173,2,4853-a05bfdd7-095c-4b93-bdde-2b99fd29c7a2,repeated,waiting_01,within,0.0,-0.25607375986579173
131,16,-0.17071583991052808,2,4853-a05bfdd7-095c-4b93-bdde-2b99fd29c7a2,repeated,waiting_02,within,0.0,0.17071583991052808
132,17,-0.5975054396868479,3,4853-a05bfdd7-095c-4b93-bdde-2b99fd29c7a2,repeated,waiting_01,within,0.0,0.5975054396868479
133,18,-0.5975054396868479,3,4853-a05bfdd7-095c-4b93-bdde-2b99fd29c7a2,repeated,waiting_00,within,0.0,0.5975054396868479
134,19,1.5364425591947513,3,4853-a05bfdd7-095c-4b93-bdde-2b99fd29c7a2,repeated,waiting_02,within,-1.052267283529313,-2.5887098427240645
135,20,0.6828633596421115,3,4853-a05bfdd7-095c-4b93-bdde-2b99fd29c7a2,repeated,waiting_04,within,0.0,-0.6828633596421115
136,21,-0.17071583991052808,4,4853-a05bfdd7-095c-4b93-bdde-2b99fd29c7a2,repeated,waiting_02,within,0.0,0.17071583991052808
137,22,-0.5975054396868479,4,4853-a05bfdd7-095c-4b93-bdde-2b99fd29c7a2,repeated,waiting_00,within,0.0,0.5975054396868479
138,23,-0.17071583991052808,4,4853-a05bfdd7-095c-4b93-bdde-2b99fd29c7a2,repeated,waiting_04,within,0.0,0.17071583991052808
139,24,-0.5975054396868479,4,4853-a05bfdd7-095c-4b93-bdde-2b99fd29c7a2,repeated,waiting_01,within,0.0,0.5975054396868479
140,25,-0.5975054396868479,5,4853-a05bfdd7-095c-4b93-bdde-2b99fd29c7a2,repeated,waiting_00,within,0.0,0.5975054396868479
141,26,-0.5975054396868479,5,4853-a05bfdd7-095c-4b93-bdde-2b99fd29c7a2,repeated,waiting_04,within,0.0,0.5975054396868479
142,27,-0.5975054396868479,5,4853-a05bfdd7-095c-4b93-bdde-2b99fd29c7a2,repeated,waiting_02,within,0.0,0.5975054396868479
143,28,-0.5975054396868479,5,4853-a05bfdd7-095c-4b93-bdde-2b99fd29c7a2,repeated,waiting_01,within,0.0,0.5975054396868479
144,29,-0.5975054396868479,6,4853-a05bfdd7-095c-4b93-bdde-2b99fd29c7a2,repeated,waiting_04,within,0.0,0.5975054396868479
145,30,-0.5975054396868479,6,4853-a05bfdd7-095c-4b93-bdde-2b99fd29c7a2,repeated,waiting_00,within,0.0,0.5975054396868479
146,31,-0.5975054396868479,6,4853-a05bfdd7-095c-4b93-bdde-2b99fd29c7a2,repeated,waiting_01,within,0.0,0.5975054396868479
147,32,-1.0242950394631678,6,4853-a05bfdd7-095c-4b93-bdde-2b99fd29c7a2,repeated,waiting_02,within,0.0,1.0242950394631678
148,34,-0.5975054396868479,7,4853-a05bfdd7-095c-4b93-bdde-2b99fd29c7a2,repeated,waiting_04,within,0.0,0.5975054396868479
149,36,-0.17071583991052808,7,4853-a05bfdd7-095c-4b93-bdde-2b99fd29c7a2,repeated,waiting_02,within,0.0,0.17071583991052808
150,37,-0.5975054396868479,7,4853-a05bfdd7-095c-4b93-bdde-2b99fd29c7a2,repeated,waiting_00,within,0.0,0.5975054396868479
151,39,-0.5975054396868479,7,4853-a05bfdd7-095c-4b93-bdde-2b99fd29c7a2,repeated,waiting_01,within,0.0,0.5975054396868479
152,3,1.1096529594184315,0,4853-a05bfdd7-095c-4b93-bdde-2b99fd29c7a2,control,waiting_06,within,0.0,-1.1096529594184315
153,5,-1.0242950394631678,0,4853-a05bfdd7-095c-4b93-bdde-2b99fd29c7a2,control,waiting_05,within,0.0,1.0242950394631678
154,6,0.6828633596421115,0,4853-a05bfdd7-095c-4b93-bdde-2b99fd29c7a2,control,waiting_07,within,0.0,-0.6828633596421115
155,7,-0.5975054396868479,0,4853-a05bfdd7-095c-4b93-bdde-2b99fd29c7a2,control,waiting_03,within,0.0,0.5975054396868479
156,33,-1.0242950394631678,7,4853-a05bfdd7-095c-4b93-bdde-2b99fd29c7a2,control,waiting_05,within,0.0,1.0242950394631678
157,35,-0.17071583991052808,7,4853-a05bfdd7-095c-4b93-bdde-2b99fd29c7a2,control,waiting_07,within,0.0,0.17071583991052808
158,38,1.1096529594184315,7,4853-a05bfdd7-095c-4b93-bdde-2b99fd29c7a2,control,waiting_06,within,0.0,-1.1096529594184315
159,40,-0.5975054396868479,7,4853-a05bfdd7-095c-4b93-bdde-2b99fd29c7a2,control,waiting_03,within,0.0,0.5975054396868479
160,2,-1.093580946965622,0,5616-7114c020-0e81-482c-952b-b26fc66076a0,repeated,dining_06,within,-1.0386982880091549,0.054882658956467045
161,5,1.45456883237175,0,5616-7114c020-0e81-482c-952b-b26fc66076a0,repeated,dining_07,within,0.0,-1.45456883237175
162,6,1.029877202482188,0,5616-7114c020-0e81-482c-952b-b26fc66076a0,repeated,dining_00,within,0.0,-1.029877202482188
163,8,-0.6688893170760598,0,5616-7114c020-0e81-482c-952b-b26fc66076a0,repeated,dining_05,within,0.0,0.6688893170760598
164,9,-0.6688893170760598,1,5616-7114c020-0e81-482c-952b-b26fc66076a0,repeated,dining_05,within,0.0,0.6688893170760598
165,10,-0.6688893170760598,1,5616-7114c020-0e81-482c-952b-b26fc66076a0,repeated,dining_07,within,0.0,0.6688893170760598
166,11,-0.6688893170760598,1,5616-7114c020-0e81-482c-952b-b26fc66076a0,repeated,dining_06,within,0.0,0.6688893170760598
167,12,-0.6688893170760598,1,5616-7114c020-0e81-482c-952b-b26fc66076a0,repeated,dining_00,within,0.0,0.6688893170760598
168,13,0.6051855725926262,2,5616-7114c020-0e81-482c-952b-b26fc66076a0,repeated,dining_00,within,0.0,-0.6051855725926262
169,14,-0.6688893170760598,2,5616-7114c020-0e81-482c-952b-b26fc66076a0,repeated,dining_05,within,0.0,0.6688893170760598
170,15,-1.093580946965622,2,5616-7114c020-0e81-482c-952b-b26fc66076a0,repeated,dining_06,within,0.0,1.093580946965622
171,16,-0.6688893170760598,2,5616-7114c020-0e81-482c-952b-b26fc66076a0,repeated,dining_07,within,0.0,0.6688893170760598
172,17,1.029877202482188,3,5616-7114c020-0e81-482c-952b-b26fc66076a0,repeated,dining_00,within,0.0,-1.029877202482188
173,18,-0.6688893170760598,3,5616-7114c020-0e81-482c-952b-b26fc66076a0,repeated,dining_05,within,0.0,0.6688893170760598
174,19,-1.093580946965622,3,5616-7114c020-0e81-482c-952b-b26fc66076a0,repeated,dining_06,within,0.0,1.093580946965622
175,20,0.18049394270306415,3,5616-7114c020-0e81-482c-952b-b26fc66076a0,repeated,dining_07,within,0.0,-0.18049394270306415
176,21,0.18049394270306415,4,5616-7114c020-0e81-482c-952b-b26fc66076a0,repeated,dining_06,within,0.0,-0.18049394270306415
177,22,2.3039520921508743,4,5616-7114c020-0e81-482c-952b-b26fc66076a0,repeated,dining_07,within,0.0,-2.3039520921508743
178,23,-0.6688893170760598,4,5616-7114c020-0e81-482c-952b-b26fc66076a0,repeated,dining_05,within,0.0,0.6688893170760598
179,24,0.6051855725926262,4,5616-7114c020-0e81-482c-952b-b26fc66076a0,repeated,dining_00,within,0.0,-0.6051855725926262
180,25,-0.6688893170760598,5,5616-7114c020-0e81-482c-952b-b26fc66076a0,repeated,dining_05,within,0.0,0.6688893170760598
181,26,-0.6688893170760598,5,5616-7114c020-0e81-482c-952b-b26fc66076a0,repeated,dining_06,within,0.0,0.6688893170760598
182,27,1.029877202482188,5,5616-7114c020-0e81-482c-952b-b26fc66076a0,repeated,dining_07,within,0.0,-1.029877202482188
183,28,1.45456883237175,5,5616-7114c020-0e81-482c-952b-b26fc66076a0,repeated,dining_00,within,0.0,-1.45456883237175
184,29,-0.6688893170760598,6,5616-7114c020-0e81-482c-952b-b26fc66076a0,repeated,dining_06,within,0.0,0.6688893170760598
185,30,-1.518272576855184,6,5616-7114c020-0e81-482c-952b-b26fc66076a0,repeated,dining_05,within,0.0,1.518272576855184
186,31,0.18049394270306415,6,5616-7114c020-0e81-482c-952b-b26fc66076a0,repeated,dining_00,within,0.0,-0.18049394270306415
187,32,3.1533353519299983,6,5616-7114c020-0e81-482c-952b-b26fc66076a0,repeated,dining_07,within,0.0,-3.1533353519299983
188,35,-0.6688893170760598,7,5616-7114c020-0e81-482c-952b-b26fc66076a0,repeated,dining_07,within,0.0,0.6688893170760598
189,38,-0.24419768718649784,7,5616-7114c020-0e81-482c-952b-b26fc66076a0,repeated,dining_05,within,0.0,0.24419768718649784
